filename,geoReg,ALV,MoranI,ALV_norm,MoranI_norm,Global_Score
s-6_n-12_cn-4_cm-1.geojson,3,0.0011482408439123881,0.6781993513482886,0.4423443977862848,0.3665595153223521,0.8089039131086369
s-8_n-16_cn-8_cm-1.geojson,3,0.0013704858020688188,0.6652024262673157,0.6072108520866637,0.20226086039342162,0.8094717124800853
s-7_n-14_cn-8_cm-1.geojson,3,0.0012254591105705709,0.676107891289761,0.4996266953770137,0.3401206405644513,0.839747335941465
s-6_n-12_cn-4_cm-2.geojson,3,0.001196730790230025,0.6797904891043739,0.47831536236932637,0.3866736416639874,0.8649890040333137
s-13_n-26_cn-8_cm-1.geojson,3,0.0016925636729076465,0.6507622524124524,0.8461356718633973,0.01971759523547827,0.8658532670988756
s-10_n-20_cn-8_cm-2.geojson,3,0.001563327572350459,0.6585814115873999,0.7502653410211846,0.11856230866695057,0.8688276496881352
s-7_n-14_cn-8_cm-2.geojson,3,0.001268664744662759,0.676029037534363,0.5316776348343889,0.3391238227889187,0.8708014576233076
s-6_n-12_cn-8_cm-2.geojson,3,0.0011662394573845813,0.6824252438859709,0.45569618587677047,0.4199804941684844,0.8756766800452549
s-5_n-10_cn-4_cm-2.geojson,3,0.0010207909248351357,0.691186452699192,0.34779909771091916,0.5307339850592673,0.8785330827701865
s-13_n-26_cn-8_cm-3.geojson,3,0.001717704525456561,0.6508185156702165,0.8647857382235563,0.02042883866536404,0.8852145768889204
s-11_n-22_cn-4_cm-1.geojson,3,0.0016694138209444856,0.6539134518678354,0.8289625758237626,0.05955300466552574,0.8885155804892884
s-7_n-14_cn-4_cm-1.geojson,3,0.0012824092489946517,0.6767851157367861,0.5418736262940483,0.34868167058024385,0.8905552968742922
s-10_n-20_cn-8_cm-3.geojson,3,0.0015918795421713562,0.6587369631475344,0.7714458531313829,0.12052869009509351,0.8919745432264764
s-5_n-10_cn-8_cm-2.geojson,3,0.001002326140542419,0.6938148382795967,0.3341014933152379,0.5639603222740049,0.8980618155892428
s-11_n-22_cn-4_cm-2.geojson,3,0.0016715189352873238,0.654772627066883,0.8305241983707017,0.07041413748520049,0.9009383358559022
s-9_n-18_cn-4_cm-1.geojson,3,0.0015217121199413257,0.6639199753839279,0.7193940351444919,0.18604895228128596,0.9054429874257778
s-9_n-18_cn-8_cm-2.geojson,3,0.0014752870773668083,0.6670001482671327,0.6849548639547569,0.22498649008397678,0.9099413540387337
s-13_n-26_cn-8_cm-2.geojson,3,0.0016960495735941024,0.6542259213052826,0.8487215936813166,0.06350303961295486,0.9122246332942715
s-9_n-18_cn-8_cm-1.geojson,3,0.0014602036203182867,0.6681554843896699,0.6737656063769473,0.23959149624820805,0.9133571026251553
s-4_n-8_cn-8_cm-2.geojson,3,0.0008411143671887808,0.704526185554624,0.2145108682465558,0.6993661924163237,0.9138770606628794
s-10_n-20_cn-4_cm-1.geojson,3,0.0016205430935165232,0.6588974738981,0.7927091389990799,0.12255776237605785,0.9152669013751378
s-7_n-14_cn-4_cm-2.geojson,3,0.0013068682902017403,0.6775332210823755,0.5600179092188436,0.35813873071252167,0.9181566399313653
s-12_n-24_cn-8_cm-1.geojson,3,0.0016455195549795363,0.6577344737933815,0.8112372562465301,0.10785587314479612,0.9190931293913263
s-4_n-8_cn-4_cm-2.geojson,3,0.0008621198080401108,0.7040889300369405,0.23009319048640411,0.6938386931833843,0.9239318836697884
s-8_n-16_cn-8_cm-2.geojson,3,0.001394533898150398,0.6730628758713562,0.6250502864051428,0.30162754051464136,0.9266778269197842
s-8_n-16_cn-4_cm-1.geojson,3,0.0014328763615837625,0.6709486532238288,0.653493613299206,0.274900915944222,0.9283945292434279
s-11_n-22_cn-8_cm-3.geojson,3,0.001641397968145688,0.6587475068594849,0.8081797677301451,0.12066197682873529,0.9288417445588804
s-13_n-26_cn-4_cm-3.geojson,3,0.0017646403026567198,0.6529135601292785,0.8996037841806491,0.04691302507835687,0.9465168092590059
s-12_n-24_cn-8_cm-2.geojson,3,0.0016555747420297182,0.6593958179533898,0.8186964267493936,0.1288575030813261,0.9475539298307196
s-3_n-6_cn-8_cm-2.geojson,3,0.0006725940519958994,0.7173117936838744,0.0894985976695249,0.8609935161868945,0.9504921138564194
